unique_id,feature_name,honorees,city,county,state,stabr,statename,lea_name,sch_name
1937,Joseph Wheeler High School,Joseph Wheeler,Marietta,Cobb,GA,GA,GEORGIA,Cobb County,Wheeler High School
2035,James S. Hogg Middle School,James S. Hogg,Tyler,Smith,TX,TX,TEXAS,TYLER ISD,HOGG MIDDLE
2036,Jefferson Davis Elementary School,Jefferson Davis,Greenwood,Leflore,MS,MS,MISSISSIPPI,BILOXI PUBLIC SCHOOL DIST,JEFF DAVIS ELEMENTARY SCHOOL
1892,Wade Hampton High School,Wade Hampton,Greenville,Greenville,SC,SC,SOUTH CAROLINA,Greenville 01,Wade Hampton High
890,Stonewall Elementary School,"Thomas Jonathan ""Stonewall"" Jackson",Stonewall,Pontotoc,OK,OK,OKLAHOMA,STONEWALL,STONEWALL ES
5174,Forrest Hill Academy,Nathan Bedford Forrest,Atlanta,Fulton,GA,GA,GEORGIA,Atlanta Public Schools,APS-Forrest Hills Academy
5167,Power APAC Elementary School,John Logan Power,Jackson,Hinds,MS,MS,MISSISSIPPI,JACKSON PUBLIC SCHOOL DIST,POWER APAC SCHOOL
5168,Zebulon B. Vance High School,Zebulon Baird Vance,Charlotte,Mecklenburg,NC,NC,NORTH CAROLINA,Charlotte-Mecklenburg Schools,VANCE HIGH
1007,Lee Central Middle School,Robert E. Lee,Bishopville,Lee,SC,SC,SOUTH CAROLINA,Lee 01,Lee Central Middle
1005,Lee Central High School,Robert E. Lee,Bishopville,Lee,SC,SC,SOUTH CAROLINA,Lee 01,Lee Central High
1006,Lee County Career & Technology Center,Robert E. Lee,Bishopville,Lee,SC,SC,SOUTH CAROLINA,Lee 01,Lee County Career & Technology Center
887,Robert E. Lee Elementary School,Robert E. Lee,Durant,Bryan,OK,OK,OKLAHOMA,DURANT,ROBERT E. LEE ES
889,Lee Elementary School,Robert E. Lee,Pauls Valley,Garvin,OK,OK,OKLAHOMA,PAULS VALLEY,LEE ES
724,Forrest County Agricultural High School,Nathan Bedford Forrest,Brooklyn,Forrest,MS,MS,MISSISSIPPI,FORREST COUNTY AG HIGH SCHOOL,FORREST COUNTY AGRICULTURAL HI SCH
725,South Forrest Attendance Center,Nathan Bedford Forrest,Brooklyn,Forrest,MS,MS,MISSISSIPPI,FORREST COUNTY SCHOOL DISTRICT,SOUTH FORREST ATTENDANCE CENTER
1258,Lee Freshman High School,Robert E. Lee,Midland,Midland,TX,TX,TEXAS,MIDLAND ISD,LEE FRESHMAN H S
1259,Robert E. Lee High School,Robert E. Lee,Midland,Midland,TX,TX,TEXAS,MIDLAND ISD,LEE H S
1260,Robert E. Lee Elementary School,Robert E. Lee,Port Arthur,Jefferson,TX,TX,TEXAS,PORT ARTHUR ISD,LEE EL
1261,Robert Lee Elementary School,Robert E. Lee,Robert Lee,Coke,TX,TX,TEXAS,ROBERT LEE ISD,ROBERT LEE EL
1262,Robert Lee High School,Robert E. Lee,Robert Lee,Coke,TX,TX,TEXAS,ROBERT LEE ISD,ROBERT LEE H S
1263,Robert E. Lee Middle School,Robert E. Lee,San Angelo,Tom Green,TX,TX,TEXAS,SAN ANGELO ISD,LEE MIDDLE
1478,Lee-Davis High School,Jefferson Davis,Mechanicsville,Hanover,VA,VA,VIRGINIA,HANOVER CO PBLC SCHS,LEE DAVIS HIGH
1478,Lee-Davis High School,Robert E. Lee,Mechanicsville,Hanover,VA,VA,VIRGINIA,HANOVER CO PBLC SCHS,LEE DAVIS HIGH
1479,Stonewall Jackson Middle School,"Thomas Jonathan ""Stonewall"" Jackson",Mechanicsville,Hanover,VA,VA,VIRGINIA,HANOVER CO PBLC SCHS,STONEWALL JACKSON MIDDLE
1483,Stonewall Jackson High School,"Thomas Jonathan ""Stonewall"" Jackson",Quicksburg,Shenandoah,VA,VA,VIRGINIA,SHENANDOAH CO PBLC SCH,STONEWALL JACKSON HIGH
3143,Reagan Elementary School,John Henninger Reagan,San Angelo,Tom Green,TX,TX,TEXAS,SAN ANGELO ISD,REAGAN EL
3121,Stonewall Flanders Elementary,"Thomas Jonathan ""Stonewall"" Jackson",San Antonio,Bexar,TX,TX,TEXAS,HARLANDALE ISD,STONEWALL/FLANDERS EL
5084,Sidney Lanier High School (rename pending),Sidney Lanier,Montgomery,Montgomery,AL,AL,ALABAMA,Montgomery County,Lanier Senior High Sch
102,Robert E. Lee High School (rename pending),Robert E. Lee,Montgomery,Montgomery,AL,AL,ALABAMA,Montgomery County,Lee High Sch
1267,Robert E. Lee High School (rename pending),Robert E. Lee,Tyler,Smith,TX,TX,TEXAS,TYLER ISD,ROBERT E LEE H S
103,Jefferson Davis High School (rename pending),Jefferson Davis,Montgomery,Montgomery,AL,AL,ALABAMA,Montgomery County,Jefferson Davis High Sch
1248,Fort Davis AEC School (school closed in 2014),Jefferson Davis,Fort Davis,Jeff Davis,TX,TX,TEXAS,FT DAVIS ISD,FT DAVIS SCHOOL
1257,Robert E. Lee Elementary School (school closed in 2017),Robert E. Lee,Marshall,Harrison,TX,TX,TEXAS,MARSHALL ISD,R E LEE EL
5073,"Sidney Lanier High School (renamed ""Juan Navarro High School"")",Sidney Lanier,Austin,NA,TX,TX,TEXAS,AUSTIN ISD,LANIER H S
1926,"Robert E. Lee Elementary (renamed ""Olivia Herrera Elementary School"")",Robert E. Lee,Long Beach,Los Angeles,CA,CA,CALIFORNIA,Long Beach Unified,Lee Elementary
3128,"Henry Grady Middle School (renamed to ""Tanglewood Middle School"")",Henry Grady,Houston,Harris,TX,TX,TEXAS,HOUSTON ISD,GRADY MIDDLE
1813,"Washington-Lee High School (renamed ""Washington Liberty High School"")",Robert E. Lee,Arlington,Arlington,VA,VA,VIRGINIA,ARLINGTON CO PBLC SCHS,WASHINGTON LEE HIGH
1235,"Robert E. Lee Elementary School (renamed ""Park Hills Elementary School"")",Robert E. Lee,Amarillo,Potter,TX,TX,TEXAS,AMARILLO ISD,LEE EL
1236,"Robert E. Lee Elementary School (renamed ""Russell Lee Elementary"")",Robert E. Lee,Austin,Travis,TX,TX,TEXAS,AUSTIN ISD,LEE EL
1237,"John H. Reagan High School (renamed ""Northeast Early College High School"")",John Henninger Reagan,Austin,Travis,TX,TX,TEXAS,AUSTIN ISD,REAGAN H S
1487,"Robert E. Lee High School (renamed ""John R. Lewis High School"")",Robert E. Lee,Springfield,Fairfax,VA,VA,VIRGINIA,FAIRFAX CO PBLC SCHS,LEE HIGH
1488,"Robert E. Lee High School (renamed ""Staunton High School"")",Robert E. Lee,Staunton,Staunton City,VA,VA,VIRGINIA,STAUNTON CITY PBLC SCHS,ROBERT E. LEE HIGH
